cohort_status	stable_id	fold
FINAL_WORKFLOW_SPECIFIC	ENST00000081029	1
FINAL_WORKFLOW_SPECIFIC	ENST00000084795	2
FINAL_WORKFLOW_SPECIFIC	ENST00000085068	0
FINAL_WORKFLOW_SPECIFIC	ENST00000085079	3
FINAL_WORKFLOW_SPECIFIC	ENST00000155926	1
FINAL_WORKFLOW_SPECIFIC	ENST00000156109	1
FINAL_WORKFLOW_SPECIFIC	ENST00000156626	1
FINAL_WORKFLOW_SPECIFIC	ENST00000157812	4
FINAL_WORKFLOW_SPECIFIC	ENST00000160827	1
FINAL_WORKFLOW_SPECIFIC	ENST00000163416	3
FINAL_WORKFLOW_SPECIFIC	ENST00000166345	2
FINAL_WORKFLOW_SPECIFIC	ENST00000167218	0
FINAL_WORKFLOW_SPECIFIC	ENST00000168216	1
FINAL_WORKFLOW_SPECIFIC	ENST00000170447	4
FINAL_WORKFLOW_SPECIFIC	ENST00000171111	1
FINAL_WORKFLOW_SPECIFIC	ENST00000173527	0
FINAL_WORKFLOW_SPECIFIC	ENST00000175091	1
FINAL_WORKFLOW_SPECIFIC	ENST00000175506	4
FINAL_WORKFLOW_SPECIFIC	ENST00000177742	1
FINAL_WORKFLOW_SPECIFIC	ENST00000184266	1
FINAL_WORKFLOW_SPECIFIC	ENST00000185150	1
FINAL_WORKFLOW_SPECIFIC	ENST00000188376	3
FINAL_WORKFLOW_SPECIFIC	ENST00000194118	4
FINAL_WORKFLOW_SPECIFIC	ENST00000194214	0
FINAL_WORKFLOW_SPECIFIC	ENST00000194530	0
FINAL_WORKFLOW_SPECIFIC	ENST00000196061	4
FINAL_WORKFLOW_SPECIFIC	ENST00000196551	0
FINAL_WORKFLOW_SPECIFIC	ENST00000199320	2
FINAL_WORKFLOW_SPECIFIC	ENST00000199389	2
FINAL_WORKFLOW_SPECIFIC	ENST00000199706	2
FINAL_WORKFLOW_SPECIFIC	ENST00000199708	3
FINAL_WORKFLOW_SPECIFIC	ENST00000199814	1
FINAL_WORKFLOW_SPECIFIC	ENST00000200453	4
FINAL_WORKFLOW_SPECIFIC	ENST00000200457	2
FINAL_WORKFLOW_SPECIFIC	ENST00000202017	3
FINAL_WORKFLOW_SPECIFIC	ENST00000202773	4
FINAL_WORKFLOW_SPECIFIC	ENST00000202834	3
FINAL_WORKFLOW_SPECIFIC	ENST00000203407	1
FINAL_WORKFLOW_SPECIFIC	ENST00000203630	3
FINAL_WORKFLOW_SPECIFIC	ENST00000204549	0
FINAL_WORKFLOW_SPECIFIC	ENST00000204566	1
FINAL_WORKFLOW_SPECIFIC	ENST00000205194	1
FINAL_WORKFLOW_SPECIFIC	ENST00000205402	0
FINAL_WORKFLOW_SPECIFIC	ENST00000205636	0
FINAL_WORKFLOW_SPECIFIC	ENST00000206020	4
FINAL_WORKFLOW_SPECIFIC	ENST00000206380	0
FINAL_WORKFLOW_SPECIFIC	ENST00000206451	4
FINAL_WORKFLOW_SPECIFIC	ENST00000206474	3
FINAL_WORKFLOW_SPECIFIC	ENST00000207636	0
FINAL_WORKFLOW_SPECIFIC	ENST00000209728	2
FINAL_WORKFLOW_SPECIFIC	ENST00000210060	2
FINAL_WORKFLOW_SPECIFIC	ENST00000210313	3
FINAL_WORKFLOW_SPECIFIC	ENST00000210444	0
FINAL_WORKFLOW_SPECIFIC	ENST00000211314	4
FINAL_WORKFLOW_SPECIFIC	ENST00000211379	1
FINAL_WORKFLOW_SPECIFIC	ENST00000211998	1
FINAL_WORKFLOW_SPECIFIC	ENST00000215071	3
FINAL_WORKFLOW_SPECIFIC	ENST00000215115	1
FINAL_WORKFLOW_SPECIFIC	ENST00000215375	4
FINAL_WORKFLOW_SPECIFIC	ENST00000215565	0
FINAL_WORKFLOW_SPECIFIC	ENST00000215567	3
FINAL_WORKFLOW_SPECIFIC	ENST00000215570	4
FINAL_WORKFLOW_SPECIFIC	ENST00000215574	4
FINAL_WORKFLOW_SPECIFIC	ENST00000215587	4
FINAL_WORKFLOW_SPECIFIC	ENST00000215730	0
FINAL_WORKFLOW_SPECIFIC	ENST00000215742	0
FINAL_WORKFLOW_SPECIFIC	ENST00000215754	0
FINAL_WORKFLOW_SPECIFIC	ENST00000215793	1
FINAL_WORKFLOW_SPECIFIC	ENST00000215829	2
FINAL_WORKFLOW_SPECIFIC	ENST00000215832	4
FINAL_WORKFLOW_SPECIFIC	ENST00000215882	0
FINAL_WORKFLOW_SPECIFIC	ENST00000215904	3
FINAL_WORKFLOW_SPECIFIC	ENST00000215909	1
FINAL_WORKFLOW_SPECIFIC	ENST00000215956	2
FINAL_WORKFLOW_SPECIFIC	ENST00000216014	4
FINAL_WORKFLOW_SPECIFIC	ENST00000216034	3
FINAL_WORKFLOW_SPECIFIC	ENST00000216037	4
FINAL_WORKFLOW_SPECIFIC	ENST00000216038	0
FINAL_WORKFLOW_SPECIFIC	ENST00000216121	4
FINAL_WORKFLOW_SPECIFIC	ENST00000216122	2
FINAL_WORKFLOW_SPECIFIC	ENST00000216129	2
FINAL_WORKFLOW_SPECIFIC	ENST00000216146	4
FINAL_WORKFLOW_SPECIFIC	ENST00000216181	0
FINAL_WORKFLOW_SPECIFIC	ENST00000216185	1
FINAL_WORKFLOW_SPECIFIC	ENST00000216190	1
FINAL_WORKFLOW_SPECIFIC	ENST00000216194	2
FINAL_WORKFLOW_SPECIFIC	ENST00000216218	3
FINAL_WORKFLOW_SPECIFIC	ENST00000216225	3
FINAL_WORKFLOW_SPECIFIC	ENST00000216252	3
FINAL_WORKFLOW_SPECIFIC	ENST00000216254	1
FINAL_WORKFLOW_SPECIFIC	ENST00000216277	4
FINAL_WORKFLOW_SPECIFIC	ENST00000216281	0
FINAL_WORKFLOW_SPECIFIC	ENST00000216297	4
FINAL_WORKFLOW_SPECIFIC	ENST00000216330	0
FINAL_WORKFLOW_SPECIFIC	ENST00000216361	4
FINAL_WORKFLOW_SPECIFIC	ENST00000216416	4
FINAL_WORKFLOW_SPECIFIC	ENST00000216452	2
FINAL_WORKFLOW_SPECIFIC	ENST00000216455	1
FINAL_WORKFLOW_SPECIFIC	ENST00000216456	2
FINAL_WORKFLOW_SPECIFIC	ENST00000216463	2
FINAL_WORKFLOW_SPECIFIC	ENST00000216479	3
FINAL_WORKFLOW_SPECIFIC	ENST00000216520	4
FINAL_WORKFLOW_SPECIFIC	ENST00000216605	2
FINAL_WORKFLOW_SPECIFIC	ENST00000216639	1
FINAL_WORKFLOW_SPECIFIC	ENST00000216714	3
FINAL_WORKFLOW_SPECIFIC	ENST00000216727	1
FINAL_WORKFLOW_SPECIFIC	ENST00000216756	3
FINAL_WORKFLOW_SPECIFIC	ENST00000216780	3
FINAL_WORKFLOW_SPECIFIC	ENST00000216832	3
FINAL_WORKFLOW_SPECIFIC	ENST00000216951	1
FINAL_WORKFLOW_SPECIFIC	ENST00000216968	4
FINAL_WORKFLOW_SPECIFIC	ENST00000217026	3
FINAL_WORKFLOW_SPECIFIC	ENST00000217131	0
FINAL_WORKFLOW_SPECIFIC	ENST00000217182	1
FINAL_WORKFLOW_SPECIFIC	ENST00000217195	4
FINAL_WORKFLOW_SPECIFIC	ENST00000217233	1
FINAL_WORKFLOW_SPECIFIC	ENST00000217244	3
FINAL_WORKFLOW_SPECIFIC	ENST00000217381	4
FINAL_WORKFLOW_SPECIFIC	ENST00000217402	3
FINAL_WORKFLOW_SPECIFIC	ENST00000217426	1
FINAL_WORKFLOW_SPECIFIC	ENST00000217446	2
FINAL_WORKFLOW_SPECIFIC	ENST00000217456	1
FINAL_WORKFLOW_SPECIFIC	ENST00000217652	0
FINAL_WORKFLOW_SPECIFIC	ENST00000217893	1
FINAL_WORKFLOW_SPECIFIC	ENST00000217958	1
FINAL_WORKFLOW_SPECIFIC	ENST00000217971	3
FINAL_WORKFLOW_SPECIFIC	ENST00000218089	4
FINAL_WORKFLOW_SPECIFIC	ENST00000218388	4
FINAL_WORKFLOW_SPECIFIC	ENST00000219169	0
FINAL_WORKFLOW_SPECIFIC	ENST00000219204	2
FINAL_WORKFLOW_SPECIFIC	ENST00000219252	0
FINAL_WORKFLOW_SPECIFIC	ENST00000219302	3
FINAL_WORKFLOW_SPECIFIC	ENST00000219313	2
FINAL_WORKFLOW_SPECIFIC	ENST00000219431	2
FINAL_WORKFLOW_SPECIFIC	ENST00000219473	0
FINAL_WORKFLOW_SPECIFIC	ENST00000219479	0
FINAL_WORKFLOW_SPECIFIC	ENST00000219548	2
FINAL_WORKFLOW_SPECIFIC	ENST00000219771	0
FINAL_WORKFLOW_SPECIFIC	ENST00000219782	0
FINAL_WORKFLOW_SPECIFIC	ENST00000219797	2
FINAL_WORKFLOW_SPECIFIC	ENST00000220166	3
FINAL_WORKFLOW_SPECIFIC	ENST00000220514	1
FINAL_WORKFLOW_SPECIFIC	ENST00000220584	3
FINAL_WORKFLOW_SPECIFIC	ENST00000220763	0
FINAL_WORKFLOW_SPECIFIC	ENST00000220764	0
FINAL_WORKFLOW_SPECIFIC	ENST00000220849	0
FINAL_WORKFLOW_SPECIFIC	ENST00000220913	4
FINAL_WORKFLOW_SPECIFIC	ENST00000221114	4
FINAL_WORKFLOW_SPECIFIC	ENST00000221130	2
FINAL_WORKFLOW_SPECIFIC	ENST00000221138	1
FINAL_WORKFLOW_SPECIFIC	ENST00000221233	3
FINAL_WORKFLOW_SPECIFIC	ENST00000221413	2
FINAL_WORKFLOW_SPECIFIC	ENST00000221418	3
FINAL_WORKFLOW_SPECIFIC	ENST00000221419	2
FINAL_WORKFLOW_SPECIFIC	ENST00000221448	4
FINAL_WORKFLOW_SPECIFIC	ENST00000221486	2
FINAL_WORKFLOW_SPECIFIC	ENST00000221494	0
FINAL_WORKFLOW_SPECIFIC	ENST00000221561	1
FINAL_WORKFLOW_SPECIFIC	ENST00000221566	0
FINAL_WORKFLOW_SPECIFIC	ENST00000221573	4
FINAL_WORKFLOW_SPECIFIC	ENST00000221576	2
FINAL_WORKFLOW_SPECIFIC	ENST00000221784	2
FINAL_WORKFLOW_SPECIFIC	ENST00000221801	1
FINAL_WORKFLOW_SPECIFIC	ENST00000221859	2
FINAL_WORKFLOW_SPECIFIC	ENST00000221930	0
FINAL_WORKFLOW_SPECIFIC	ENST00000221957	0
FINAL_WORKFLOW_SPECIFIC	ENST00000221975	3
FINAL_WORKFLOW_SPECIFIC	ENST00000222005	0
FINAL_WORKFLOW_SPECIFIC	ENST00000222190	3
FINAL_WORKFLOW_SPECIFIC	ENST00000222219	1
FINAL_WORKFLOW_SPECIFIC	ENST00000222247	3
FINAL_WORKFLOW_SPECIFIC	ENST00000222266	0
FINAL_WORKFLOW_SPECIFIC	ENST00000222284	2
FINAL_WORKFLOW_SPECIFIC	ENST00000222307	1
FINAL_WORKFLOW_SPECIFIC	ENST00000222308	3
FINAL_WORKFLOW_SPECIFIC	ENST00000222330	1
FINAL_WORKFLOW_SPECIFIC	ENST00000222388	2
FINAL_WORKFLOW_SPECIFIC	ENST00000222547	2
FINAL_WORKFLOW_SPECIFIC	ENST00000222553	0
FINAL_WORKFLOW_SPECIFIC	ENST00000222567	3
FINAL_WORKFLOW_SPECIFIC	ENST00000222690	1
FINAL_WORKFLOW_SPECIFIC	ENST00000222969	1
FINAL_WORKFLOW_SPECIFIC	ENST00000223029	1
FINAL_WORKFLOW_SPECIFIC	ENST00000223051	2
FINAL_WORKFLOW_SPECIFIC	ENST00000223084	4
FINAL_WORKFLOW_SPECIFIC	ENST00000223127	2
FINAL_WORKFLOW_SPECIFIC	ENST00000223129	4
FINAL_WORKFLOW_SPECIFIC	ENST00000223136	3
FINAL_WORKFLOW_SPECIFIC	ENST00000223321	3
FINAL_WORKFLOW_SPECIFIC	ENST00000223324	4
FINAL_WORKFLOW_SPECIFIC	ENST00000223336	4
FINAL_WORKFLOW_SPECIFIC	ENST00000223361	4
FINAL_WORKFLOW_SPECIFIC	ENST00000223369	2
FINAL_WORKFLOW_SPECIFIC	ENST00000223500	4
FINAL_WORKFLOW_SPECIFIC	ENST00000223641	1
FINAL_WORKFLOW_SPECIFIC	ENST00000223864	0
FINAL_WORKFLOW_SPECIFIC	ENST00000224073	0
FINAL_WORKFLOW_SPECIFIC	ENST00000224237	4
FINAL_WORKFLOW_SPECIFIC	ENST00000224862	4
FINAL_WORKFLOW_SPECIFIC	ENST00000225171	4
FINAL_WORKFLOW_SPECIFIC	ENST00000225174	3
FINAL_WORKFLOW_SPECIFIC	ENST00000225298	4
FINAL_WORKFLOW_SPECIFIC	ENST00000225308	3
FINAL_WORKFLOW_SPECIFIC	ENST00000225430	3
FINAL_WORKFLOW_SPECIFIC	ENST00000225504	4
FINAL_WORKFLOW_SPECIFIC	ENST00000225603	4
FINAL_WORKFLOW_SPECIFIC	ENST00000225655	3
FINAL_WORKFLOW_SPECIFIC	ENST00000225665	1
FINAL_WORKFLOW_SPECIFIC	ENST00000225696	2
FINAL_WORKFLOW_SPECIFIC	ENST00000225698	2
FINAL_WORKFLOW_SPECIFIC	ENST00000225726	1
FINAL_WORKFLOW_SPECIFIC	ENST00000225777	0
FINAL_WORKFLOW_SPECIFIC	ENST00000225792	3
FINAL_WORKFLOW_SPECIFIC	ENST00000225916	0
FINAL_WORKFLOW_SPECIFIC	ENST00000225969	4
FINAL_WORKFLOW_SPECIFIC	ENST00000225972	4
FINAL_WORKFLOW_SPECIFIC	ENST00000226230	4
FINAL_WORKFLOW_SPECIFIC	ENST00000226253	3
FINAL_WORKFLOW_SPECIFIC	ENST00000226299	2
FINAL_WORKFLOW_SPECIFIC	ENST00000226522	3
FINAL_WORKFLOW_SPECIFIC	ENST00000226796	2
FINAL_WORKFLOW_SPECIFIC	ENST00000226798	4
FINAL_WORKFLOW_SPECIFIC	ENST00000227157	1
FINAL_WORKFLOW_SPECIFIC	ENST00000227163	1
FINAL_WORKFLOW_SPECIFIC	ENST00000227266	3
FINAL_WORKFLOW_SPECIFIC	ENST00000227378	3
FINAL_WORKFLOW_SPECIFIC	ENST00000227520	3
FINAL_WORKFLOW_SPECIFIC	ENST00000227524	0
FINAL_WORKFLOW_SPECIFIC	ENST00000227525	0
FINAL_WORKFLOW_SPECIFIC	ENST00000228136	2
FINAL_WORKFLOW_SPECIFIC	ENST00000228140	0
FINAL_WORKFLOW_SPECIFIC	ENST00000228251	3
FINAL_WORKFLOW_SPECIFIC	ENST00000228306	2
FINAL_WORKFLOW_SPECIFIC	ENST00000228318	3
FINAL_WORKFLOW_SPECIFIC	ENST00000228740	4
FINAL_WORKFLOW_SPECIFIC	ENST00000228825	3
FINAL_WORKFLOW_SPECIFIC	ENST00000228827	0
FINAL_WORKFLOW_SPECIFIC	ENST00000228872	1
FINAL_WORKFLOW_SPECIFIC	ENST00000228918	0
FINAL_WORKFLOW_SPECIFIC	ENST00000229201	0
FINAL_WORKFLOW_SPECIFIC	ENST00000229238	2
FINAL_WORKFLOW_SPECIFIC	ENST00000229239	1
FINAL_WORKFLOW_SPECIFIC	ENST00000229266	2
FINAL_WORKFLOW_SPECIFIC	ENST00000229270	1
FINAL_WORKFLOW_SPECIFIC	ENST00000229281	0
FINAL_WORKFLOW_SPECIFIC	ENST00000229328	3
FINAL_WORKFLOW_SPECIFIC	ENST00000229329	3
FINAL_WORKFLOW_SPECIFIC	ENST00000229379	2
FINAL_WORKFLOW_SPECIFIC	ENST00000229390	1
FINAL_WORKFLOW_SPECIFIC	ENST00000229563	1
FINAL_WORKFLOW_SPECIFIC	ENST00000229595	4
FINAL_WORKFLOW_SPECIFIC	ENST00000229633	4
FINAL_WORKFLOW_SPECIFIC	ENST00000229758	2
FINAL_WORKFLOW_SPECIFIC	ENST00000229769	4
FINAL_WORKFLOW_SPECIFIC	ENST00000229810	3
FINAL_WORKFLOW_SPECIFIC	ENST00000230050	2
FINAL_WORKFLOW_SPECIFIC	ENST00000230056	0
FINAL_WORKFLOW_SPECIFIC	ENST00000230085	0
FINAL_WORKFLOW_SPECIFIC	ENST00000230340	0
FINAL_WORKFLOW_SPECIFIC	ENST00000230413	2
FINAL_WORKFLOW_SPECIFIC	ENST00000230431	3
FINAL_WORKFLOW_SPECIFIC	ENST00000230461	1
FINAL_WORKFLOW_SPECIFIC	ENST00000230495	3
FINAL_WORKFLOW_SPECIFIC	ENST00000230640	4
FINAL_WORKFLOW_SPECIFIC	ENST00000230895	0
FINAL_WORKFLOW_SPECIFIC	ENST00000231198	3
FINAL_WORKFLOW_SPECIFIC	ENST00000231238	4
FINAL_WORKFLOW_SPECIFIC	ENST00000231504	1
FINAL_WORKFLOW_SPECIFIC	ENST00000231512	4
FINAL_WORKFLOW_SPECIFIC	ENST00000231572	0
FINAL_WORKFLOW_SPECIFIC	ENST00000231790	1
FINAL_WORKFLOW_SPECIFIC	ENST00000232125	1
FINAL_WORKFLOW_SPECIFIC	ENST00000232424	2
FINAL_WORKFLOW_SPECIFIC	ENST00000232496	0
FINAL_WORKFLOW_SPECIFIC	ENST00000232888	1
FINAL_WORKFLOW_SPECIFIC	ENST00000232905	1
FINAL_WORKFLOW_SPECIFIC	ENST00000233084	0
FINAL_WORKFLOW_SPECIFIC	ENST00000233114	0
FINAL_WORKFLOW_SPECIFIC	ENST00000233121	2
FINAL_WORKFLOW_SPECIFIC	ENST00000233143	0
FINAL_WORKFLOW_SPECIFIC	ENST00000233146	2
FINAL_WORKFLOW_SPECIFIC	ENST00000233468	3
FINAL_WORKFLOW_SPECIFIC	ENST00000233596	4
FINAL_WORKFLOW_SPECIFIC	ENST00000233609	0
FINAL_WORKFLOW_SPECIFIC	ENST00000233699	2
FINAL_WORKFLOW_SPECIFIC	ENST00000233893	3
FINAL_WORKFLOW_SPECIFIC	ENST00000234111	0
FINAL_WORKFLOW_SPECIFIC	ENST00000234160	0
FINAL_WORKFLOW_SPECIFIC	ENST00000234170	0
FINAL_WORKFLOW_SPECIFIC	ENST00000234301	4
FINAL_WORKFLOW_SPECIFIC	ENST00000234310	0
FINAL_WORKFLOW_SPECIFIC	ENST00000234454	4
FINAL_WORKFLOW_SPECIFIC	ENST00000234590	2
FINAL_WORKFLOW_SPECIFIC	ENST00000234677	1
FINAL_WORKFLOW_SPECIFIC	ENST00000234875	0
FINAL_WORKFLOW_SPECIFIC	ENST00000235090	3
FINAL_WORKFLOW_SPECIFIC	ENST00000235310	2
FINAL_WORKFLOW_SPECIFIC	ENST00000235329	1
FINAL_WORKFLOW_SPECIFIC	ENST00000235332	4
FINAL_WORKFLOW_SPECIFIC	ENST00000235835	2
FINAL_WORKFLOW_SPECIFIC	ENST00000236017	4
FINAL_WORKFLOW_SPECIFIC	ENST00000236051	2
FINAL_WORKFLOW_SPECIFIC	ENST00000236067	2
FINAL_WORKFLOW_SPECIFIC	ENST00000236273	1
FINAL_WORKFLOW_SPECIFIC	ENST00000236412	1
FINAL_WORKFLOW_SPECIFIC	ENST00000236957	3
FINAL_WORKFLOW_SPECIFIC	ENST00000236959	2
FINAL_WORKFLOW_SPECIFIC	ENST00000237264	2
FINAL_WORKFLOW_SPECIFIC	ENST00000237500	2
FINAL_WORKFLOW_SPECIFIC	ENST00000237530	0
FINAL_WORKFLOW_SPECIFIC	ENST00000237654	0
FINAL_WORKFLOW_SPECIFIC	ENST00000237889	3
FINAL_WORKFLOW_SPECIFIC	ENST00000238081	3
FINAL_WORKFLOW_SPECIFIC	ENST00000238112	2
FINAL_WORKFLOW_SPECIFIC	ENST00000238633	4
FINAL_WORKFLOW_SPECIFIC	ENST00000238647	2
FINAL_WORKFLOW_SPECIFIC	ENST00000238688	4
FINAL_WORKFLOW_SPECIFIC	ENST00000238831	3
FINAL_WORKFLOW_SPECIFIC	ENST00000238892	2
FINAL_WORKFLOW_SPECIFIC	ENST00000239223	3
FINAL_WORKFLOW_SPECIFIC	ENST00000239666	1
FINAL_WORKFLOW_SPECIFIC	ENST00000239878	0
FINAL_WORKFLOW_SPECIFIC	ENST00000239891	1
FINAL_WORKFLOW_SPECIFIC	ENST00000239893	0
FINAL_WORKFLOW_SPECIFIC	ENST00000239938	3
FINAL_WORKFLOW_SPECIFIC	ENST00000239944	0
FINAL_WORKFLOW_SPECIFIC	ENST00000240306	0
FINAL_WORKFLOW_SPECIFIC	ENST00000240316	1
FINAL_WORKFLOW_SPECIFIC	ENST00000240364	1
FINAL_WORKFLOW_SPECIFIC	ENST00000240423	4
FINAL_WORKFLOW_SPECIFIC	ENST00000240488	4
FINAL_WORKFLOW_SPECIFIC	ENST00000240851	0
FINAL_WORKFLOW_SPECIFIC	ENST00000241052	4
FINAL_WORKFLOW_SPECIFIC	ENST00000241502	0
FINAL_WORKFLOW_SPECIFIC	ENST00000241600	2
FINAL_WORKFLOW_SPECIFIC	ENST00000241704	4
FINAL_WORKFLOW_SPECIFIC	ENST00000242285	4
FINAL_WORKFLOW_SPECIFIC	ENST00000242576	3
FINAL_WORKFLOW_SPECIFIC	ENST00000242577	0
FINAL_WORKFLOW_SPECIFIC	ENST00000242592	4
FINAL_WORKFLOW_SPECIFIC	ENST00000242776	1
FINAL_WORKFLOW_SPECIFIC	ENST00000242784	2
FINAL_WORKFLOW_SPECIFIC	ENST00000243040	1
FINAL_WORKFLOW_SPECIFIC	ENST00000243253	1
FINAL_WORKFLOW_SPECIFIC	ENST00000243346	1
FINAL_WORKFLOW_SPECIFIC	ENST00000243498	3
FINAL_WORKFLOW_SPECIFIC	ENST00000243501	1
FINAL_WORKFLOW_SPECIFIC	ENST00000243563	1
FINAL_WORKFLOW_SPECIFIC	ENST00000243776	1
FINAL_WORKFLOW_SPECIFIC	ENST00000243914	4
FINAL_WORKFLOW_SPECIFIC	ENST00000243997	1
FINAL_WORKFLOW_SPECIFIC	ENST00000244020	3
FINAL_WORKFLOW_SPECIFIC	ENST00000244061	0
FINAL_WORKFLOW_SPECIFIC	ENST00000244227	2
FINAL_WORKFLOW_SPECIFIC	ENST00000244496	1
FINAL_WORKFLOW_SPECIFIC	ENST00000244520	0
FINAL_WORKFLOW_SPECIFIC	ENST00000244670	2
FINAL_WORKFLOW_SPECIFIC	ENST00000244711	1
FINAL_WORKFLOW_SPECIFIC	ENST00000244776	4
FINAL_WORKFLOW_SPECIFIC	ENST00000245046	0
FINAL_WORKFLOW_SPECIFIC	ENST00000245206	2
FINAL_WORKFLOW_SPECIFIC	ENST00000245458	4
FINAL_WORKFLOW_SPECIFIC	ENST00000245539	3
FINAL_WORKFLOW_SPECIFIC	ENST00000245812	3
FINAL_WORKFLOW_SPECIFIC	ENST00000245816	2
FINAL_WORKFLOW_SPECIFIC	ENST00000245817	1
FINAL_WORKFLOW_SPECIFIC	ENST00000245857	1
FINAL_WORKFLOW_SPECIFIC	ENST00000245932	4
FINAL_WORKFLOW_SPECIFIC	ENST00000246015	3
FINAL_WORKFLOW_SPECIFIC	ENST00000246069	0
FINAL_WORKFLOW_SPECIFIC	ENST00000246071	3
FINAL_WORKFLOW_SPECIFIC	ENST00000246151	2
FINAL_WORKFLOW_SPECIFIC	ENST00000246194	4
FINAL_WORKFLOW_SPECIFIC	ENST00000246337	2
FINAL_WORKFLOW_SPECIFIC	ENST00000246533	2
FINAL_WORKFLOW_SPECIFIC	ENST00000246535	1
FINAL_WORKFLOW_SPECIFIC	ENST00000246548	1
FINAL_WORKFLOW_SPECIFIC	ENST00000246551	1
FINAL_WORKFLOW_SPECIFIC	ENST00000246554	0
FINAL_WORKFLOW_SPECIFIC	ENST00000246747	1
FINAL_WORKFLOW_SPECIFIC	ENST00000246785	2
FINAL_WORKFLOW_SPECIFIC	ENST00000246802	0
FINAL_WORKFLOW_SPECIFIC	ENST00000246868	3
FINAL_WORKFLOW_SPECIFIC	ENST00000246957	3
FINAL_WORKFLOW_SPECIFIC	ENST00000247191	1
FINAL_WORKFLOW_SPECIFIC	ENST00000247461	1
FINAL_WORKFLOW_SPECIFIC	ENST00000247655	0
FINAL_WORKFLOW_SPECIFIC	ENST00000247665	3
FINAL_WORKFLOW_SPECIFIC	ENST00000247668	1
FINAL_WORKFLOW_SPECIFIC	ENST00000247843	3
FINAL_WORKFLOW_SPECIFIC	ENST00000247866	0
FINAL_WORKFLOW_SPECIFIC	ENST00000247970	0
FINAL_WORKFLOW_SPECIFIC	ENST00000248098	0
FINAL_WORKFLOW_SPECIFIC	ENST00000248114	0
FINAL_WORKFLOW_SPECIFIC	ENST00000248342	3
FINAL_WORKFLOW_SPECIFIC	ENST00000248378	4
FINAL_WORKFLOW_SPECIFIC	ENST00000248450	2
FINAL_WORKFLOW_SPECIFIC	ENST00000248553	3
FINAL_WORKFLOW_SPECIFIC	ENST00000248566	1
FINAL_WORKFLOW_SPECIFIC	ENST00000248879	2
FINAL_WORKFLOW_SPECIFIC	ENST00000248924	4
FINAL_WORKFLOW_SPECIFIC	ENST00000248958	1
FINAL_WORKFLOW_SPECIFIC	ENST00000248975	0
FINAL_WORKFLOW_SPECIFIC	ENST00000249014	0
FINAL_WORKFLOW_SPECIFIC	ENST00000249071	1
FINAL_WORKFLOW_SPECIFIC	ENST00000249209	1
FINAL_WORKFLOW_SPECIFIC	ENST00000249269	0
FINAL_WORKFLOW_SPECIFIC	ENST00000249289	0
FINAL_WORKFLOW_SPECIFIC	ENST00000249299	4
FINAL_WORKFLOW_SPECIFIC	ENST00000249364	1
FINAL_WORKFLOW_SPECIFIC	ENST00000249442	1
FINAL_WORKFLOW_SPECIFIC	ENST00000249647	0
FINAL_WORKFLOW_SPECIFIC	ENST00000249750	1
FINAL_WORKFLOW_SPECIFIC	ENST00000249776	2
FINAL_WORKFLOW_SPECIFIC	ENST00000249786	0
FINAL_WORKFLOW_SPECIFIC	ENST00000249923	4
FINAL_WORKFLOW_SPECIFIC	ENST00000250113	3
FINAL_WORKFLOW_SPECIFIC	ENST00000250124	1
