status	stable_id	sequence_cluster_id	fold
FROZEN_PHASE3D	ENST00000206020	SCd0ca35c194ff	4
FROZEN_PHASE3D	ENST00000206380	SCb19ad775e4df	0
FROZEN_PHASE3D	ENST00000206451	SC6a6c1f8e24a8	4
FROZEN_PHASE3D	ENST00000206474	SC792e651fdb0c	3
FROZEN_PHASE3D	ENST00000207636	SCe22610f61913	0
FROZEN_PHASE3D	ENST00000209728	SC5b15a920bea9	2
FROZEN_PHASE3D	ENST00000210060	SCec8922cde9ac	2
FROZEN_PHASE3D	ENST00000210313	SC39912b38a2fd	3
FROZEN_PHASE3D	ENST00000210444	SCd40cd5cfb8d2	0
FROZEN_PHASE3D	ENST00000211314	SCfae2270317e0	4
FROZEN_PHASE3D	ENST00000211379	SCd7f20f584474	1
FROZEN_PHASE3D	ENST00000211998	SC51f41dfe098a	1
FROZEN_PHASE3D	ENST00000215071	SC0ffacba59a6b	3
FROZEN_PHASE3D	ENST00000215115	SC20cff6bc3478	1
FROZEN_PHASE3D	ENST00000215375	SC49cd594deb72	4
FROZEN_PHASE3D	ENST00000215565	SC1930cc8d7d0c	0
FROZEN_PHASE3D	ENST00000215567	SC7e93be0d7d5a	3
FROZEN_PHASE3D	ENST00000215570	SC1c49832bb02c	4
FROZEN_PHASE3D	ENST00000215574	SC55fb7b523f48	4
FROZEN_PHASE3D	ENST00000215587	SCa27d98da89fd	4
FROZEN_PHASE3D	ENST00000215730	SC4f2b0cc21253	0
FROZEN_PHASE3D	ENST00000215742	SC6172bd2a5960	0
FROZEN_PHASE3D	ENST00000215754	SC801dbe7ab5da	0
FROZEN_PHASE3D	ENST00000215793	SC4e10a9f9a7ce	1
FROZEN_PHASE3D	ENST00000215829	SC87b314a4f178	2
FROZEN_PHASE3D	ENST00000215832	SCa9320486c2a9	4
FROZEN_PHASE3D	ENST00000215882	SC70f01aeb6829	0
FROZEN_PHASE3D	ENST00000215904	SC9c746cd8aff5	3
FROZEN_PHASE3D	ENST00000215909	SCf39070653cf8	1
FROZEN_PHASE3D	ENST00000215956	SC025cc3c7d016	2
FROZEN_PHASE3D	ENST00000216014	SC30227c79dee6	4
FROZEN_PHASE3D	ENST00000216034	SCff3019e7f3e6	3
FROZEN_PHASE3D	ENST00000216037	SC58663ae52388	4
FROZEN_PHASE3D	ENST00000216038	SCe70c58324006	0
FROZEN_PHASE3D	ENST00000216121	SCaaf607c85adb	4
FROZEN_PHASE3D	ENST00000216122	SC9254e5083ecb	2
FROZEN_PHASE3D	ENST00000216129	SC30b3365eef15	2
FROZEN_PHASE3D	ENST00000216146	SC86322a13bf4d	4
FROZEN_PHASE3D	ENST00000216181	SCb9bba00c4d10	0
FROZEN_PHASE3D	ENST00000216185	SC0a2eacfcf7c1	1
FROZEN_PHASE3D	ENST00000216190	SC51977904d3dc	1
FROZEN_PHASE3D	ENST00000216194	SCa191fbf8961d	2
FROZEN_PHASE3D	ENST00000216218	SC1cb1db709f7b	3
FROZEN_PHASE3D	ENST00000216225	SC93c254afe486	3
FROZEN_PHASE3D	ENST00000216252	SCdc0f2189d968	3
FROZEN_PHASE3D	ENST00000216254	SC54d7abcef629	1
FROZEN_PHASE3D	ENST00000216277	SC199832931e07	4
FROZEN_PHASE3D	ENST00000216281	SC975c7b16a431	0
FROZEN_PHASE3D	ENST00000216297	SC0748514697ba	4
FROZEN_PHASE3D	ENST00000216330	SCd0b07f467795	0
FROZEN_PHASE3D	ENST00000216361	SC523b403ced44	4
FROZEN_PHASE3D	ENST00000216416	SC6d38719ca8b6	4
FROZEN_PHASE3D	ENST00000216452	SCf8ac87707f62	2
FROZEN_PHASE3D	ENST00000216455	SC020473354cde	1
FROZEN_PHASE3D	ENST00000216456	SCe8a7008acb39	2
FROZEN_PHASE3D	ENST00000216463	SC7692fdb7ab86	2
FROZEN_PHASE3D	ENST00000216479	SCe690ef7edf64	3
FROZEN_PHASE3D	ENST00000216520	SC311c819ffdee	4
FROZEN_PHASE3D	ENST00000216605	SC8897a84b86f2	2
FROZEN_PHASE3D	ENST00000216639	SCf7d5ace1def6	1
FROZEN_PHASE3D	ENST00000216714	SC6cb977fe8a15	3
FROZEN_PHASE3D	ENST00000216727	SC630130af4ae5	1
FROZEN_PHASE3D	ENST00000216756	SC8a2e444d3cac	3
FROZEN_PHASE3D	ENST00000216780	SCe200efff92b4	3
FROZEN_PHASE3D	ENST00000216832	SC80077e5163c6	3
FROZEN_PHASE3D	ENST00000216951	SC06cd9266d453	1
FROZEN_PHASE3D	ENST00000216968	SC7d993cb30710	4
FROZEN_PHASE3D	ENST00000217026	SCd9b4a81bcaaa	3
FROZEN_PHASE3D	ENST00000217131	SC7b0c065d278c	0
FROZEN_PHASE3D	ENST00000217182	SC1b280610e63b	1
FROZEN_PHASE3D	ENST00000217195	SC1278cdbb52fe	4
FROZEN_PHASE3D	ENST00000217233	SCc2dde5503924	1
FROZEN_PHASE3D	ENST00000217244	SCef2cffb72139	3
FROZEN_PHASE3D	ENST00000217381	SCa1a68de71616	4
FROZEN_PHASE3D	ENST00000217402	SC30c9dc85c3d4	3
FROZEN_PHASE3D	ENST00000217426	SC5fd96219f756	1
FROZEN_PHASE3D	ENST00000217446	SC01946c927e0a	2
FROZEN_PHASE3D	ENST00000217456	SC71769cf3d7da	1
FROZEN_PHASE3D	ENST00000217652	SC76943f828a68	0
FROZEN_PHASE3D	ENST00000217893	SC4bcd52504c3a	1
FROZEN_PHASE3D	ENST00000217958	SCf4e9d90c0ada	1
FROZEN_PHASE3D	ENST00000217971	SC7af7d3a0a801	3
FROZEN_PHASE3D	ENST00000218089	SC5e61981c6689	4
FROZEN_PHASE3D	ENST00000218388	SCe2c8093b1e08	4
FROZEN_PHASE3D	ENST00000219169	SCa02ef292b6fe	0
FROZEN_PHASE3D	ENST00000219204	SC23791d8883fd	2
FROZEN_PHASE3D	ENST00000219252	SCf3fffde95690	0
FROZEN_PHASE3D	ENST00000219302	SC3d65319c2cc5	3
FROZEN_PHASE3D	ENST00000219313	SC6ca47719b609	2
FROZEN_PHASE3D	ENST00000219431	SC0db3f882f206	2
FROZEN_PHASE3D	ENST00000219473	SCd88ee470f409	0
FROZEN_PHASE3D	ENST00000219479	SCb4c04975a7c5	0
FROZEN_PHASE3D	ENST00000219548	SC2e0d67eb9e2a	2
FROZEN_PHASE3D	ENST00000219771	SCcae4d9d5a3d5	0
FROZEN_PHASE3D	ENST00000219782	SC84dd6c688a97	0
FROZEN_PHASE3D	ENST00000219797	SC8ca8bb53248a	2
FROZEN_PHASE3D	ENST00000220166	SC4e58f02fc58d	3
FROZEN_PHASE3D	ENST00000220514	SCbacec44d8efe	1
FROZEN_PHASE3D	ENST00000220584	SC3e65bed620e9	3
FROZEN_PHASE3D	ENST00000220763	SCdea3fb22c073	0
FROZEN_PHASE3D	ENST00000220764	SCdbf00e9023c7	0
FROZEN_PHASE3D	ENST00000220849	SC5ca80b243ee1	0
FROZEN_PHASE3D	ENST00000220913	SCeb085b0ee375	4
FROZEN_PHASE3D	ENST00000221114	SCfba12395b9a7	4
FROZEN_PHASE3D	ENST00000221130	SC9663902ae104	2
FROZEN_PHASE3D	ENST00000221138	SCd76895284ea9	1
FROZEN_PHASE3D	ENST00000221233	SC5661742cb941	3
FROZEN_PHASE3D	ENST00000221413	SCfd6b039f269b	2
FROZEN_PHASE3D	ENST00000221418	SC6a061ebc0419	3
FROZEN_PHASE3D	ENST00000221419	SCa0b7fa675534	2
FROZEN_PHASE3D	ENST00000221448	SCcc5b230e5338	4
FROZEN_PHASE3D	ENST00000221486	SC795cf8cc7063	2
FROZEN_PHASE3D	ENST00000221494	SC3178a57b0b63	0
FROZEN_PHASE3D	ENST00000221561	SC2a6fe1f44ecf	1
FROZEN_PHASE3D	ENST00000221566	SC8a999c449be3	0
FROZEN_PHASE3D	ENST00000221573	SCb7458fe06bcc	4
FROZEN_PHASE3D	ENST00000221576	SCd117cc06963a	2
FROZEN_PHASE3D	ENST00000221784	SC3753fc3e580c	2
FROZEN_PHASE3D	ENST00000221801	SCd002103a5c0a	1
FROZEN_PHASE3D	ENST00000221859	SC97268ea7d44c	2
FROZEN_PHASE3D	ENST00000221930	SC1f30fe3ccc3d	0
FROZEN_PHASE3D	ENST00000221957	SC1e4a8e83774a	0
FROZEN_PHASE3D	ENST00000221975	SCe6a6c7cbc572	3
FROZEN_PHASE3D	ENST00000222005	SCa27d4ab46104	0
FROZEN_PHASE3D	ENST00000222190	SCaaf76bcb884f	3
FROZEN_PHASE3D	ENST00000222219	SCa694edfa6ae3	1
FROZEN_PHASE3D	ENST00000222247	SC0c10ffa4ebfc	3
FROZEN_PHASE3D	ENST00000222266	SC4cab7e257128	0
FROZEN_PHASE3D	ENST00000222284	SC9b1725618164	2
FROZEN_PHASE3D	ENST00000222307	SC93ddfb658596	1
FROZEN_PHASE3D	ENST00000222308	SC610837dcf2d9	3
FROZEN_PHASE3D	ENST00000222330	SCf64860a8191b	1
FROZEN_PHASE3D	ENST00000222388	SC9f88d996c82e	2
FROZEN_PHASE3D	ENST00000222547	SC155bac0f90c8	2
FROZEN_PHASE3D	ENST00000222553	SC0f6e40b8bf32	0
FROZEN_PHASE3D	ENST00000222567	SC608ab43d0ba9	3
FROZEN_PHASE3D	ENST00000222690	SCe23433ab6063	1
FROZEN_PHASE3D	ENST00000222969	SCa061f7d6f410	1
FROZEN_PHASE3D	ENST00000223029	SCabe168252ce4	1
FROZEN_PHASE3D	ENST00000223051	SC18dc024f238b	2
FROZEN_PHASE3D	ENST00000223084	SCa23a8197ff4a	4
FROZEN_PHASE3D	ENST00000223127	SC5ed37dc15092	2
FROZEN_PHASE3D	ENST00000223129	SC6f235db069eb	4
FROZEN_PHASE3D	ENST00000223136	SCdf77bd68b9e1	3
FROZEN_PHASE3D	ENST00000223321	SC79eb2e422d0d	3
FROZEN_PHASE3D	ENST00000223324	SCb600bcaafb85	4
FROZEN_PHASE3D	ENST00000223336	SCefe36d14c396	4
FROZEN_PHASE3D	ENST00000223361	SC9c35ed6c533e	4
FROZEN_PHASE3D	ENST00000223369	SC9a8ec1d0a541	2
FROZEN_PHASE3D	ENST00000223500	SC4088a3907e52	4
FROZEN_PHASE3D	ENST00000223641	SC64b3cbea1171	1
FROZEN_PHASE3D	ENST00000223864	SC2bfa0add38d7	0
FROZEN_PHASE3D	ENST00000224073	SC40b0f6eebb5c	0
FROZEN_PHASE3D	ENST00000224237	SC47982300331f	4
FROZEN_PHASE3D	ENST00000224862	SC786bd55c5c38	4
FROZEN_PHASE3D	ENST00000225171	SC10430b170ef5	4
FROZEN_PHASE3D	ENST00000225174	SC6ed829769390	3
FROZEN_PHASE3D	ENST00000225298	SC0972a1784b3e	4
FROZEN_PHASE3D	ENST00000225308	SCec0baf59fcc0	3
FROZEN_PHASE3D	ENST00000225430	SCd19b2c41fee6	3
FROZEN_PHASE3D	ENST00000225504	SCe74c61df280b	4
FROZEN_PHASE3D	ENST00000225603	SC52c15d5613d0	4
FROZEN_PHASE3D	ENST00000225655	SC1a12d5c7d5e6	3
FROZEN_PHASE3D	ENST00000225665	SCda76e242d03d	1
FROZEN_PHASE3D	ENST00000225696	SCb9cae2f38102	2
FROZEN_PHASE3D	ENST00000225698	SC0ebc6b766b1f	2
FROZEN_PHASE3D	ENST00000225726	SCfa6b8f354ba7	1
FROZEN_PHASE3D	ENST00000225777	SCcc349b5b73c4	0
FROZEN_PHASE3D	ENST00000225792	SC4c7625dccf62	3
FROZEN_PHASE3D	ENST00000225916	SC802e96a08271	0
FROZEN_PHASE3D	ENST00000225969	SC58f5e3d25b19	4
FROZEN_PHASE3D	ENST00000225972	SCe8d41d32f074	4
FROZEN_PHASE3D	ENST00000226230	SCa2af54ee5596	4
FROZEN_PHASE3D	ENST00000226253	SC28b99fa3de63	3
FROZEN_PHASE3D	ENST00000226299	SC900924bc40d4	2
FROZEN_PHASE3D	ENST00000226522	SC996b3f9d4fba	3
FROZEN_PHASE3D	ENST00000226796	SCa36cfd8d362c	2
FROZEN_PHASE3D	ENST00000226798	SC6e8a85a6d87f	4
FROZEN_PHASE3D	ENST00000227157	SC8d359476f653	1
FROZEN_PHASE3D	ENST00000227163	SC0af3f526237d	1
FROZEN_PHASE3D	ENST00000227266	SCe2b748a4ff29	3
FROZEN_PHASE3D	ENST00000227378	SC2ff8b17c29ec	3
FROZEN_PHASE3D	ENST00000227520	SC1e3fc123488e	3
FROZEN_PHASE3D	ENST00000227524	SCf1c8accf5109	0
FROZEN_PHASE3D	ENST00000227525	SC312d5b3cc6aa	0
FROZEN_PHASE3D	ENST00000228136	SCe5b10a237e9e	2
FROZEN_PHASE3D	ENST00000228140	SC2323490aa076	0
FROZEN_PHASE3D	ENST00000228251	SCe97c4e527b9d	3
FROZEN_PHASE3D	ENST00000228306	SCe01041e5fe66	2
FROZEN_PHASE3D	ENST00000228318	SCccf6bf489067	3
FROZEN_PHASE3D	ENST00000228740	SC4fa7358551d2	4
FROZEN_PHASE3D	ENST00000228825	SCaf4c5f7527c4	3
FROZEN_PHASE3D	ENST00000228827	SCcdc588052d49	0
FROZEN_PHASE3D	ENST00000228872	SCd45bcaeb0be6	1
FROZEN_PHASE3D	ENST00000228918	SC0fb0f722e274	0
FROZEN_PHASE3D	ENST00000229201	SCb930b240f31d	0
FROZEN_PHASE3D	ENST00000229238	SC732c114a7e5b	2
FROZEN_PHASE3D	ENST00000229239	SC68d4849395c0	1
FROZEN_PHASE3D	ENST00000229266	SCdb5ddeb9cd4b	2
FROZEN_PHASE3D	ENST00000229270	SC40c4697a4778	1
FROZEN_PHASE3D	ENST00000229281	SC8bdda9ae3546	0
FROZEN_PHASE3D	ENST00000229328	SCba71231030ff	3
FROZEN_PHASE3D	ENST00000229329	SCc232fdcc5941	3
FROZEN_PHASE3D	ENST00000229379	SC4516bcdbddda	2
FROZEN_PHASE3D	ENST00000229390	SCba57a4dd73c0	1
FROZEN_PHASE3D	ENST00000229563	SC156efc441238	1
FROZEN_PHASE3D	ENST00000229595	SC33d9526ce128	4
FROZEN_PHASE3D	ENST00000229633	SCd15a4f709a6a	4
FROZEN_PHASE3D	ENST00000229758	SC65bb790e3c00	2
FROZEN_PHASE3D	ENST00000229769	SCfcfd1263e5e8	4
FROZEN_PHASE3D	ENST00000229810	SCeb29bb2c5e60	3
FROZEN_PHASE3D	ENST00000230050	SC24f52f09287f	2
FROZEN_PHASE3D	ENST00000230056	SC6571c14286d7	0
FROZEN_PHASE3D	ENST00000230085	SC5fccc8cc9ef8	0
FROZEN_PHASE3D	ENST00000230340	SC55c59c5afbb0	0
FROZEN_PHASE3D	ENST00000230413	SCa71c05df7fc0	2
FROZEN_PHASE3D	ENST00000230431	SC7ff0c20ec792	3
FROZEN_PHASE3D	ENST00000230461	SCe08a5120742f	1
FROZEN_PHASE3D	ENST00000230495	SC538c0326fd5e	3
FROZEN_PHASE3D	ENST00000230640	SC41cb6c2a8ed1	4
FROZEN_PHASE3D	ENST00000230895	SC8a913ce57620	0
FROZEN_PHASE3D	ENST00000231198	SC3f72e5e6f612	3
FROZEN_PHASE3D	ENST00000231238	SCa02f77dd38e7	4
FROZEN_PHASE3D	ENST00000231504	SCa28206f98369	1
FROZEN_PHASE3D	ENST00000231512	SC528368745588	4
FROZEN_PHASE3D	ENST00000231572	SC5da1667514df	0
FROZEN_PHASE3D	ENST00000231790	SCf154f076830e	1
FROZEN_PHASE3D	ENST00000232125	SCc22db5869b6f	1
FROZEN_PHASE3D	ENST00000232424	SC38d0dba8c17f	2
FROZEN_PHASE3D	ENST00000232496	SC64417aee5dde	0
FROZEN_PHASE3D	ENST00000232888	SC6ded17950ef2	1
FROZEN_PHASE3D	ENST00000232905	SCac35d8f8a3da	1
FROZEN_PHASE3D	ENST00000233084	SC5c1c19f1574e	0
FROZEN_PHASE3D	ENST00000233114	SC0146c7df080f	0
FROZEN_PHASE3D	ENST00000233121	SCe817be8cb03c	2
FROZEN_PHASE3D	ENST00000233143	SCcd1acdb1fb5a	0
FROZEN_PHASE3D	ENST00000233146	SC16c0aea41d51	2
FROZEN_PHASE3D	ENST00000233468	SC2abd8e69606c	3
FROZEN_PHASE3D	ENST00000233596	SC57b988797a51	4
FROZEN_PHASE3D	ENST00000233609	SCef01b2e230b8	0
FROZEN_PHASE3D	ENST00000233699	SCf979c9465a9d	2
FROZEN_PHASE3D	ENST00000233893	SCbdd90c9f3e5a	3
FROZEN_PHASE3D	ENST00000234111	SC7e41bd1d8dc8	0
FROZEN_PHASE3D	ENST00000234160	SC990681c9f958	0
FROZEN_PHASE3D	ENST00000234170	SCaecd3295dc1a	0
FROZEN_PHASE3D	ENST00000234301	SC530c269422d8	4
FROZEN_PHASE3D	ENST00000234310	SCfe4e78871692	0
FROZEN_PHASE3D	ENST00000234454	SCa76c6427a514	4
FROZEN_PHASE3D	ENST00000234590	SC632635599df9	2
FROZEN_PHASE3D	ENST00000234677	SCbb6c937fce86	1
FROZEN_PHASE3D	ENST00000234875	SC18460dcf6b04	0
FROZEN_PHASE3D	ENST00000235090	SC611b4c0e1053	3
FROZEN_PHASE3D	ENST00000235310	SC1e32c82c6ff8	2
FROZEN_PHASE3D	ENST00000235329	SCf8c48555489e	1
FROZEN_PHASE3D	ENST00000235332	SCbdab9c831a9b	4
FROZEN_PHASE3D	ENST00000235835	SCec3c52897d9b	2
FROZEN_PHASE3D	ENST00000236017	SCd13fc6d895bb	4
FROZEN_PHASE3D	ENST00000236051	SC27488231488d	2
FROZEN_PHASE3D	ENST00000236067	SCc34c779653c3	2
FROZEN_PHASE3D	ENST00000236273	SC14147a4f1ef5	1
FROZEN_PHASE3D	ENST00000236412	SC11f896820794	1
FROZEN_PHASE3D	ENST00000236957	SCddfb579598a0	3
FROZEN_PHASE3D	ENST00000236959	SC627aca281415	2
FROZEN_PHASE3D	ENST00000237264	SC5e3061b9d1a5	2
FROZEN_PHASE3D	ENST00000237500	SC549a7c74d09f	2
FROZEN_PHASE3D	ENST00000237530	SC8fcd711b3ae3	0
FROZEN_PHASE3D	ENST00000237654	SC6752479f0103	0
FROZEN_PHASE3D	ENST00000237889	SCc4fca4e93169	3
FROZEN_PHASE3D	ENST00000238081	SC94328e0cee9b	3
FROZEN_PHASE3D	ENST00000238112	SC277bb16a5653	2
FROZEN_PHASE3D	ENST00000238633	SC32716ac60098	4
FROZEN_PHASE3D	ENST00000238647	SC9db508883995	2
FROZEN_PHASE3D	ENST00000238688	SCcf95833d8d81	4
FROZEN_PHASE3D	ENST00000238831	SC40e45a4267d1	3
FROZEN_PHASE3D	ENST00000238892	SCb4cadc19ed22	2
FROZEN_PHASE3D	ENST00000239223	SC29f0c0020c0a	3
FROZEN_PHASE3D	ENST00000239666	SC40dfd2f2a46d	1
FROZEN_PHASE3D	ENST00000239878	SC3488f3142302	0
FROZEN_PHASE3D	ENST00000239891	SC3fe0bdd2a5ef	1
FROZEN_PHASE3D	ENST00000239893	SC0aac02c2d02e	0
FROZEN_PHASE3D	ENST00000239938	SC0bec188e7f63	3
FROZEN_PHASE3D	ENST00000239944	SCd7399dcd73af	0
FROZEN_PHASE3D	ENST00000240306	SCfc4f397335ea	0
FROZEN_PHASE3D	ENST00000240316	SC178c8a4ba68a	1
FROZEN_PHASE3D	ENST00000240364	SC5624e6ec3c22	1
FROZEN_PHASE3D	ENST00000240423	SCd936f02a6fe9	4
FROZEN_PHASE3D	ENST00000240488	SCaa3e0bff2588	4
FROZEN_PHASE3D	ENST00000240851	SCc27abdf9e972	0
FROZEN_PHASE3D	ENST00000241052	SC22b89ec822ec	4
FROZEN_PHASE3D	ENST00000241502	SC86b8cf93024f	0
FROZEN_PHASE3D	ENST00000241600	SC939384d8d39d	2
FROZEN_PHASE3D	ENST00000241704	SC033e37dcae08	4
FROZEN_PHASE3D	ENST00000242285	SC2e6d7b2f3327	4
FROZEN_PHASE3D	ENST00000242576	SC29931791c613	3
FROZEN_PHASE3D	ENST00000242577	SCc8b1fcfdfbd5	0
FROZEN_PHASE3D	ENST00000242592	SC9d8c3227940e	4
FROZEN_PHASE3D	ENST00000242776	SC23a7f99bdd6d	1
FROZEN_PHASE3D	ENST00000242784	SC3cf83e0e33b5	2
FROZEN_PHASE3D	ENST00000243040	SC8774b925b81e	1
FROZEN_PHASE3D	ENST00000243253	SCccabccbc684a	1
FROZEN_PHASE3D	ENST00000243346	SCd8791fb3ec9c	1
FROZEN_PHASE3D	ENST00000243498	SCd293add1ef50	3
FROZEN_PHASE3D	ENST00000243501	SC2ab133a40993	1
FROZEN_PHASE3D	ENST00000243563	SC021216d61982	1
FROZEN_PHASE3D	ENST00000243776	SC01e65ed44020	1
FROZEN_PHASE3D	ENST00000243914	SC789993619639	4
FROZEN_PHASE3D	ENST00000243997	SC079e70f201f0	1
FROZEN_PHASE3D	ENST00000244020	SCfe120bdc5b49	3
FROZEN_PHASE3D	ENST00000244061	SCe5948b32e8a7	0
FROZEN_PHASE3D	ENST00000244227	SCb5162413c818	2
FROZEN_PHASE3D	ENST00000244496	SCbe6bba65db0c	1
FROZEN_PHASE3D	ENST00000244520	SC2794fdfad970	0
FROZEN_PHASE3D	ENST00000244670	SC242240074ae0	2
FROZEN_PHASE3D	ENST00000244711	SCf83a82c28446	1
FROZEN_PHASE3D	ENST00000244776	SCc320631c0e22	4
FROZEN_PHASE3D	ENST00000245046	SCb793f160838a	0
FROZEN_PHASE3D	ENST00000245206	SCbeaa2ba3a346	2
FROZEN_PHASE3D	ENST00000245458	SCd428b9b80977	4
FROZEN_PHASE3D	ENST00000245539	SC2b98a3b4f6ea	3
FROZEN_PHASE3D	ENST00000245812	SC2b8f303c6890	3
FROZEN_PHASE3D	ENST00000245816	SCda308a434bb5	2
FROZEN_PHASE3D	ENST00000245817	SC781a8c034434	1
FROZEN_PHASE3D	ENST00000245857	SC5d9f69087a77	1
FROZEN_PHASE3D	ENST00000245932	SC7dbf855ac1b4	4
FROZEN_PHASE3D	ENST00000246015	SC724637ba21b4	3
FROZEN_PHASE3D	ENST00000246069	SC1d9e66c64b22	0
FROZEN_PHASE3D	ENST00000246071	SC95a2b11f2372	3
FROZEN_PHASE3D	ENST00000246151	SCb43798bd3bda	2
FROZEN_PHASE3D	ENST00000246194	SCf0871d57e6b5	4
FROZEN_PHASE3D	ENST00000246337	SC9c13f08f5ccd	2
FROZEN_PHASE3D	ENST00000246533	SC2441dca225db	2
FROZEN_PHASE3D	ENST00000246535	SC5548acc587ac	1
FROZEN_PHASE3D	ENST00000246548	SC55691496162f	1
FROZEN_PHASE3D	ENST00000246551	SC06a4b6122068	1
